Customer_ID,Age,Employment_Status,Annual_Income,Credit_Score,Credit_Limit,Credit_Utilization,Existing_Debt,Payment_History,Delinquency_Flag,Annual_Income_Cleaned,Credit_Score_Cleaned
GELD-10027,42,Self-Employed,52507.0,695.0,12629,0.5216100772294965,5856,1,0,52507.0,695.0
GELD-10028,30,Unemployed,12000.0,539.0,500,1.1,4357,0,0,12000.0,539.0
GELD-10029,34,Self-Employed,87204.0,647.0,14196,0.5819930330585992,26999,2,0,87204.0,647.0
GELD-10030,30,Employed,41560.0,637.0,10168,0.6872737357021694,14015,0,0,41560.0,637.0
GELD-10031,60,Employed,35560.0,669.0,8001,0.4297169569870378,7117,1,0,35560.0,669.0
GELD-10032,37,Employed,50007.0,597.0,9558,0.6909659890532048,8880,0,0,50007.0,597.0
GELD-10033,25,Employed,35926.0,601.0,5186,0.7509755190358898,7233,3,1,35926.0,601.0
GELD-10034,47,Employed,44898.0,621.0,11684,0.8043564101966043,17887,2,0,44898.0,621.0
GELD-10035,23,Employed,31624.0,530.0,7069,0.6470212134249413,5753,2,0,31624.0,530.0
GELD-10036,40,Employed,63370.0,695.0,12714,0.5776807427371131,23144,0,0,63370.0,695.0
GELD-10037,18,Employed,18084.0,555.0,3095,0.8327561473997059,3442,1,0,18084.0,555.0
GELD-10038,22,Employed,21750.0,664.0,7758,0.6169807513471272,3116,2,0,21750.0,664.0
GELD-10039,40,Employed,87855.0,574.0,17483,0.6698889464192355,7727,1,0,87855.0,574.0
GELD-10040,46,Self-Employed,67736.0,616.0,13679,0.5436496651879539,17206,0,0,67736.0,616.0
GELD-10041,40,Self-Employed,137830.0,706.0,27640,0.5897418141086497,37836,1,0,137830.0,706.0
GELD-10042,36,Employed,92139.0,710.0,16217,0.6270681331493596,11740,1,0,92139.0,710.0
GELD-10043,34,Employed,90665.0,669.0,15412,0.7633679043361543,33046,0,0,90665.0,669.0
GELD-10044,20,Employed,14505.0,567.0,1598,0.727126410095266,1685,0,0,14505.0,567.0
GELD-10045,29,Employed,76399.0,571.0,13400,0.8940884685600338,20477,1,1,76399.0,571.0
GELD-10046,32,Employed,52897.0,550.0,9097,0.5909057491676043,14459,1,0,52897.0,550.0
GELD-10047,50,Unemployed,12000.0,570.0,2832,0.598429244010132,3721,0,0,12000.0,570.0
GELD-10048,42,Employed,58431.0,560.0,11058,0.9221798046327054,5363,4,1,58431.0,560.0
GELD-10049,18,Employed,41448.0,549.0,8947,0.7540849222427601,12822,0,0,41448.0,549.0
GELD-10050,41,Employed,67871.0,661.0,10790,0.7413584335904394,12931,2,0,67871.0,661.0
GELD-10051,33,Employed,36486.0,544.0,5369,1.0653846920899197,6428,3,1,36486.0,544.0
GELD-10052,29,Employed,,706.0,16288,0.713839639423524,21249,0,0,44583.0,706.0
GELD-10053,45,Employed,40663.0,676.0,8565,0.4911622937012978,12056,0,0,40663.0,676.0
GELD-10054,50,Employed,59725.0,,8895,0.7619450327720874,5442,1,1,59725.0,607.5
GELD-10055,49,Employed,47263.0,581.0,10075,1.1,5696,1,1,47263.0,581.0
GELD-10056,27,Employed,49094.0,482.0,5105,0.7319369979128443,16013,0,0,49094.0,482.0
GELD-10057,34,Employed,76481.0,595.0,12729,0.920495286505031,18672,0,0,76481.0,595.0
GELD-10058,41,Employed,33925.0,641.0,8119,0.6550936418086741,7365,1,0,33925.0,641.0
GELD-10059,49,Student,26001.0,571.0,4317,1.1,33557,3,1,26001.0,571.0
GELD-10060,32,Employed,23873.0,602.0,6591,0.7083271931185493,5744,2,1,23873.0,602.0
GELD-10061,35,Employed,41400.0,525.0,5806,0.7898321082574491,13610,0,0,41400.0,525.0
GELD-10062,24,Employed,31998.0,615.0,8982,0.7397312361810859,16327,1,1,31998.0,615.0
GELD-10063,23,Employed,35234.0,549.0,5978,1.0117252602845246,6173,2,1,35234.0,549.0
GELD-10064,47,Employed,51781.0,630.0,11114,0.6578383941461627,14847,1,0,51781.0,630.0
GELD-10065,54,Employed,52795.0,636.0,11486,0.6094580022187355,22384,0,0,52795.0,636.0
GELD-10066,37,Self-Employed,65169.0,564.0,9986,0.9987288203835228,7370,1,0,65169.0,564.0
GELD-10067,50,Employed,48826.0,573.0,5557,0.7101135654960097,20245,1,0,48826.0,573.0
GELD-10068,42,Employed,101410.0,720.0,19712,0.6529839798464586,22185,0,0,101410.0,720.0
GELD-10069,30,Employed,79039.0,651.0,14682,0.5095115259764493,16442,0,0,79039.0,651.0
GELD-10070,42,Unemployed,12035.0,595.0,4348,0.6195676071362362,1956,1,0,12035.0,595.0
GELD-10071,56,Employed,35074.0,642.0,7477,0.770672256197823,6122,0,0,35074.0,642.0
GELD-10072,37,Employed,52275.0,622.0,9391,0.5630513561588442,7834,1,0,52275.0,622.0
GELD-10073,56,Employed,47324.0,552.0,11047,0.6157718149988387,6526,0,0,47324.0,552.0
GELD-10074,18,Employed,17228.0,538.0,1059,0.94562052716536,4163,3,0,17228.0,538.0
GELD-10075,47,Employed,63708.0,640.0,13177,1.0947437254757368,20073,3,1,63708.0,640.0
GELD-10076,39,Employed,42534.0,706.0,9226,0.4802110553620552,5647,0,0,42534.0,706.0
GELD-10077,34,Employed,72760.0,665.0,13380,0.6959145585166413,11123,1,0,72760.0,665.0
GELD-10078,39,Employed,33470.0,676.0,7712,0.7314419237188134,7487,0,0,33470.0,676.0
GELD-10079,18,Employed,58713.0,623.0,9815,0.5842999799280549,7590,2,0,58713.0,623.0
GELD-10080,35,Employed,36194.0,,7365,0.6196672061600026,8057,4,1,36194.0,607.5
GELD-10081,42,Unemployed,12000.0,548.0,4749,0.6796850838905305,2175,1,1,12000.0,548.0
GELD-10082,55,Employed,77368.0,679.0,15532,0.550020832421353,8112,1,0,77368.0,679.0
GELD-10083,31,Employed,41907.0,548.0,7305,0.9122476437157716,10217,0,1,41907.0,548.0
GELD-10084,28,Employed,79507.0,609.0,12408,0.5544088194643244,12825,1,1,79507.0,609.0
GELD-10085,31,Employed,31159.0,574.0,6781,1.0277600957705475,9479,2,1,31159.0,574.0
GELD-10086,48,Self-Employed,104135.0,763.0,23588,0.4669941970785631,19443,0,0,104135.0,763.0
GELD-10087,41,Employed,54522.0,519.0,7949,0.8049961606542441,8281,3,1,54522.0,519.0
GELD-10088,31,Employed,41423.0,655.0,8439,0.6394675230288571,8252,1,0,41423.0,655.0
GELD-10089,44,Employed,47352.0,574.0,7593,0.7555970495524902,15711,1,1,47352.0,574.0
GELD-10090,39,Employed,,575.0,12310,0.8559099760847472,32883,1,1,44583.0,575.0
GELD-10091,49,Employed,41647.0,681.0,5387,0.6121441147774838,10659,1,0,41647.0,681.0
GELD-10092,29,Employed,38668.0,626.0,8675,0.8822790843728017,6168,1,0,38668.0,626.0
GELD-10093,34,Employed,49035.0,670.0,9146,0.6761911971851363,10029,1,0,49035.0,670.0
GELD-10094,33,Self-Employed,31900.0,628.0,4673,0.6278573263808173,6191,1,0,31900.0,628.0
GELD-10095,20,Employed,61457.0,701.0,13966,0.5929305388646993,11684,0,0,61457.0,701.0
GELD-10096,41,Self-Employed,41987.0,638.0,7159,0.5774449907643205,7656,0,0,41987.0,638.0
GELD-10097,41,Self-Employed,78765.0,639.0,13808,0.6904322299344274,10808,3,0,78765.0,639.0
GELD-10098,38,Self-Employed,59531.0,641.0,13667,0.5155222680404944,17756,1,0,59531.0,641.0
GELD-10099,35,Employed,34785.0,656.0,5911,0.6743752498547935,9909,1,0,34785.0,656.0
GELD-10100,21,Employed,27015.0,527.0,2239,0.7417131830610626,5505,0,1,27015.0,527.0
GELD-10101,32,Self-Employed,77095.0,600.0,13768,0.7954230848397738,25752,3,1,77095.0,600.0
GELD-10102,33,Employed,49775.0,591.0,10828,0.6352508574262712,12729,1,0,49775.0,591.0
GELD-10103,28,Employed,92679.0,536.0,12188,0.9333292868901744,11971,0,0,92679.0,536.0
GELD-10104,36,Unemployed,12868.0,541.0,3279,1.1,2254,3,1,12868.0,541.0
GELD-10105,42,Unemployed,12288.0,448.0,1778,1.0627154241685028,4485,3,1,12288.0,448.0
GELD-10106,60,Employed,44053.0,644.0,6111,0.7192726050033424,7699,2,1,44053.0,644.0
GELD-10107,40,Employed,33325.0,644.0,8788,0.5336565319682176,5098,1,0,33325.0,644.0
GELD-10108,41,Employed,41105.0,586.0,9028,0.7309328177078441,11079,2,0,41105.0,586.0
GELD-10109,37,Self-Employed,59178.0,706.0,12117,0.5002741783451861,10680,1,0,59178.0,706.0
GELD-10110,18,Unemployed,12000.0,433.0,2472,1.0358554606227648,3031,3,1,12000.0,433.0
GELD-10111,37,Employed,20389.0,642.0,7319,0.6473831075936705,4057,2,0,20389.0,642.0
GELD-10112,38,Employed,53978.0,652.0,10987,0.9407355627238184,7924,0,0,53978.0,652.0
GELD-10113,67,Unemployed,12000.0,494.0,1014,1.1,1836,0,0,12000.0,494.0
GELD-10114,35,Employed,47815.0,743.0,10087,0.5698947219604875,4918,0,0,47815.0,743.0
GELD-10115,41,Employed,96864.0,662.0,17389,0.3907703950133634,12569,1,0,96864.0,662.0
GELD-10116,37,Student,13099.0,517.0,3125,0.8835819698289435,44389,1,1,13099.0,517.0
GELD-10117,23,Employed,48846.0,520.0,7200,0.8034618909852649,15974,0,0,48846.0,520.0
GELD-10118,51,Employed,49159.0,622.0,6273,0.594508291314459,7774,0,0,49159.0,622.0
GELD-10119,47,Employed,82608.0,654.0,17066,0.8553242206081667,9622,1,0,82608.0,654.0
GELD-10120,47,Employed,113071.0,696.0,20773,0.3949849351127429,35986,1,1,113071.0,696.0
GELD-10121,27,Self-Employed,97759.0,630.0,16434,0.6802087492135203,31483,0,0,97759.0,630.0
GELD-10122,54,Employed,33141.0,653.0,9010,0.6305930520416869,8934,1,0,33141.0,653.0
GELD-10123,21,Student,12000.0,516.0,4374,0.6198882702334144,33185,2,0,12000.0,516.0
GELD-10124,45,Employed,46382.0,524.0,3186,0.8833638384502802,11507,3,1,46382.0,524.0
GELD-10125,64,Employed,50639.0,646.0,10875,0.62868031547739,12747,0,0,50639.0,646.0
GELD-10126,26,Employed,73781.0,501.0,8945,0.960891138007708,21355,2,1,73781.0,501.0
GELD-10127,31,Employed,,608.0,8263,0.510408096785162,7965,1,0,44583.0,608.0
GELD-10128,39,Employed,55855.0,572.0,9866,0.8103418787392459,8353,5,1,55855.0,572.0
GELD-10129,31,Employed,21829.0,583.0,5721,0.8797852116088767,3748,2,0,21829.0,583.0
GELD-10130,19,Employed,51830.0,653.0,9779,0.8116140315208451,16756,1,0,51830.0,653.0
GELD-10131,38,Employed,43020.0,560.0,4723,0.5568690096531553,10109,1,0,43020.0,560.0
GELD-10132,25,Self-Employed,55555.0,,10411,0.5194737840878365,6646,1,0,55555.0,607.5
GELD-10133,43,Employed,47129.0,597.0,9425,0.6436464756741664,18830,0,0,47129.0,597.0
GELD-10134,26,Self-Employed,90736.0,724.0,19165,0.6935174079766218,29083,0,0,90736.0,724.0
GELD-10135,56,Employed,15110.0,588.0,2092,0.762428699059123,5931,0,0,15110.0,588.0
GELD-10136,28,Employed,53772.0,561.0,10704,0.7083622882531806,17089,1,0,53772.0,561.0
GELD-10137,34,Employed,51657.0,644.0,9368,0.970672399685703,7194,3,1,51657.0,644.0
GELD-10138,47,Employed,44172.0,600.0,8969,0.5413802164853841,10176,0,0,44172.0,600.0
GELD-10139,23,Employed,58903.0,558.0,9114,0.7070550382261163,15139,2,0,58903.0,558.0
GELD-10140,40,Self-Employed,36340.0,579.0,7146,0.835227286040668,4285,0,0,36340.0,579.0
GELD-10141,53,Self-Employed,76673.0,661.0,15736,0.7036192204805793,9685,1,1,76673.0,661.0
GELD-10142,18,Employed,31798.0,633.0,5323,0.7636079950408254,8643,0,0,31798.0,633.0
GELD-10143,40,Employed,95576.0,566.0,14504,0.7282468032637275,26815,0,0,95576.0,566.0
GELD-10144,41,Self-Employed,40125.0,610.0,8276,0.7422174237945394,20890,2,1,40125.0,610.0
GELD-10145,47,Employed,38955.0,648.0,12109,0.4445749137437298,7086,0,0,38955.0,648.0
GELD-10146,23,Self-Employed,44359.0,596.0,7087,0.612131389923314,4568,1,0,44359.0,596.0
GELD-10147,22,Self-Employed,32802.0,638.0,10464,0.5788487659432048,6234,0,0,32802.0,638.0
GELD-10148,44,Self-Employed,27032.0,,8789,0.7709960987929727,7647,0,0,27032.0,607.5
GELD-10149,41,Employed,42502.0,602.0,8065,0.5681373041716855,7418,0,0,42502.0,602.0
GELD-10150,41,Employed,64464.0,663.0,12156,0.7419623263534321,13555,3,0,64464.0,663.0
GELD-10151,42,Employed,78983.0,654.0,13581,0.5933458874146156,12334,2,1,78983.0,654.0
GELD-10152,29,Employed,39908.0,571.0,7161,0.8259101963911064,12985,2,1,39908.0,571.0
GELD-10153,40,Self-Employed,14597.0,607.0,2005,0.595973896307462,3969,2,0,14597.0,607.0
GELD-10154,41,Employed,68559.0,604.0,12041,0.6823457240179981,9970,1,0,68559.0,604.0
GELD-10155,29,Employed,,551.0,7855,0.7453416151650709,5125,2,1,44583.0,551.0
GELD-10156,60,Unemployed,,543.0,1657,0.8420350343163053,1846,2,0,44583.0,543.0
GELD-10157,43,Self-Employed,15145.0,654.0,4682,0.924162414189265,1453,2,0,15145.0,654.0
GELD-10158,23,Unemployed,12000.0,352.0,500,1.1,1786,2,1,12000.0,352.0
GELD-10159,45,Self-Employed,57404.0,652.0,11907,0.645731683563836,5702,0,0,57404.0,652.0
GELD-10160,26,Employed,48945.0,597.0,9484,0.7252411400560477,14355,0,0,48945.0,597.0
GELD-10161,47,Employed,101220.0,595.0,16988,0.6653728862816856,30644,2,0,101220.0,595.0
GELD-10162,51,Unemployed,12000.0,571.0,2752,0.8718543357882726,2149,3,0,12000.0,571.0
GELD-10163,28,Employed,112121.0,685.0,19709,0.44373997947845,24568,0,0,112121.0,685.0
GELD-10164,49,Employed,28948.0,639.0,7597,0.9160165780228956,8970,1,0,28948.0,639.0
GELD-10165,42,Employed,53340.0,491.0,7795,0.7614908315873001,14734,3,0,53340.0,491.0
GELD-10166,47,Employed,26172.0,672.0,7494,0.499278338814051,11781,2,0,26172.0,672.0
GELD-10167,60,Self-Employed,48863.0,609.0,9613,0.884377715132747,10943,2,0,48863.0,609.0
GELD-10168,35,Employed,48442.0,642.0,11507,0.4575528042063576,17486,0,0,48442.0,642.0
GELD-10169,28,Employed,71824.0,658.0,14633,0.9538554274190874,15063,0,0,71824.0,658.0
GELD-10170,27,Employed,55298.0,559.0,9645,0.7114887993707057,10643,0,0,55298.0,559.0
GELD-10171,28,Employed,71720.0,654.0,15807,0.8451102462438103,18996,1,0,71720.0,654.0
GELD-10172,37,Employed,74350.0,618.0,13906,0.781829049758977,18720,0,1,74350.0,618.0
GELD-10173,42,Employed,142873.0,609.0,25350,0.7274451721159876,22618,1,0,142873.0,609.0
GELD-10174,41,Unemployed,12000.0,599.0,4492,0.9539714585750944,1742,1,1,12000.0,599.0
GELD-10175,47,Employed,35473.0,574.0,3890,0.6884326290638549,7379,1,0,35473.0,574.0
GELD-10176,38,Employed,60520.0,582.0,12511,0.8773884756996151,5737,3,1,60520.0,582.0
GELD-10177,55,Employed,37758.0,607.0,7792,0.772301946039486,6740,2,1,37758.0,607.0
GELD-10178,34,Employed,105543.0,677.0,18939,0.6148122176283891,14384,0,0,105543.0,677.0
GELD-10179,70,Employed,35770.0,645.0,8397,0.5874852395522818,5734,2,0,35770.0,645.0
GELD-10180,45,Self-Employed,42002.0,644.0,8374,0.4305676667735432,6210,1,0,42002.0,644.0
GELD-10181,27,Employed,43822.0,524.0,7345,0.7970919709587275,12028,0,0,43822.0,524.0
GELD-10182,25,Self-Employed,74853.0,582.0,11816,0.8863718589604246,18069,2,0,74853.0,582.0
GELD-10183,43,Employed,50463.0,616.0,11568,0.6583978660336816,10406,1,0,50463.0,616.0
GELD-10184,35,Employed,40588.0,695.0,9427,0.6292354679017138,7029,1,0,40588.0,695.0
GELD-10185,46,Employed,114623.0,685.0,19949,0.4582932935186824,35006,0,0,114623.0,685.0
GELD-10186,43,Unemployed,12000.0,,2176,0.5018031837124357,3473,0,0,12000.0,607.5
GELD-10187,37,Employed,55050.0,619.0,10802,0.6366570110519377,10631,0,0,55050.0,619.0
GELD-10188,27,Employed,72659.0,596.0,12907,0.863356533326648,25220,2,0,72659.0,596.0
GELD-10189,19,Employed,13000.0,536.0,3180,0.8248157779448277,2433,1,0,13000.0,536.0
GELD-10190,32,Employed,67246.0,614.0,10598,0.5742778123436274,14735,2,0,67246.0,614.0
GELD-10191,48,Employed,33698.0,643.0,5226,0.4614786593091162,5407,0,0,33698.0,643.0
GELD-10192,40,Employed,78452.0,714.0,16558,0.7760506441171282,13533,1,0,78452.0,714.0
GELD-10193,23,Employed,17564.0,577.0,6247,0.7396604469167428,2759,0,0,17564.0,577.0
GELD-10194,40,Employed,73994.0,700.0,13159,0.6091031282987438,19668,2,0,73994.0,700.0
GELD-10195,42,Employed,89109.0,611.0,17748,0.8208982543170196,20912,1,0,89109.0,611.0
GELD-10196,27,Self-Employed,79829.0,607.0,14326,0.4588319914719629,10578,1,0,79829.0,607.0
GELD-10197,39,Self-Employed,60663.0,590.0,10708,0.6579471454841298,15362,1,0,60663.0,590.0
GELD-10198,38,Self-Employed,48820.0,629.0,9048,0.5218214242819343,20192,2,1,48820.0,629.0
GELD-10199,24,Employed,20899.0,546.0,1886,0.7304938629473195,3240,0,0,20899.0,546.0
GELD-10200,42,Employed,105026.0,712.0,21051,0.4983284465963644,15915,0,0,105026.0,712.0
GELD-10201,44,Employed,39546.0,566.0,5956,0.7518916873035099,8010,1,0,39546.0,566.0
GELD-10202,50,Employed,33972.0,618.0,6050,0.8227879731997791,11903,3,1,33972.0,618.0
GELD-10203,50,Employed,73087.0,689.0,15852,0.7397655827338164,12383,0,0,73087.0,689.0
GELD-10204,21,Employed,18931.0,454.0,500,0.8956595928335246,7984,1,0,18931.0,454.0
GELD-10205,26,Employed,35329.0,687.0,6379,0.6619578735892859,4673,0,0,35329.0,687.0
GELD-10206,44,Employed,28293.0,587.0,5782,0.6611805810359457,6158,0,0,28293.0,587.0
GELD-10207,44,Unemployed,12000.0,444.0,1231,1.1,1226,2,1,12000.0,444.0
GELD-10208,44,Employed,,633.0,10950,0.801567529280897,7246,1,0,44583.0,633.0
GELD-10209,70,Employed,45329.0,659.0,9208,0.4825209167903975,8402,0,0,45329.0,659.0
GELD-10210,44,Employed,83123.0,652.0,19000,0.6729095362443455,18697,1,1,83123.0,652.0
GELD-10211,51,Employed,68672.0,702.0,13594,0.427756433281139,22774,1,0,68672.0,702.0
GELD-10212,49,Employed,49717.0,,10135,0.6341296426696666,7588,0,0,49717.0,607.5
GELD-10213,45,Unemployed,12000.0,561.0,1702,1.1,2866,1,0,12000.0,561.0
GELD-10214,34,Unemployed,12000.0,553.0,2939,0.6784399552724445,1418,1,0,12000.0,553.0
GELD-10215,47,Employed,96053.0,668.0,18354,0.6360297831670201,29044,3,0,96053.0,668.0
GELD-10216,28,Unemployed,12000.0,610.0,5585,0.7100719252877616,4092,0,0,12000.0,610.0
GELD-10217,35,Student,12000.0,483.0,500,0.898562901782776,29052,0,1,12000.0,483.0
GELD-10218,32,Self-Employed,34655.0,597.0,6575,0.8327822447137123,10589,1,1,34655.0,597.0
GELD-10219,38,Self-Employed,28272.0,596.0,6638,1.1,5503,2,1,28272.0,596.0
GELD-10220,65,Employed,54838.0,700.0,12706,0.5346471990039836,12367,0,0,54838.0,700.0
GELD-10221,18,Employed,35134.0,527.0,5765,0.7398445332305827,6823,2,1,35134.0,527.0
GELD-10222,46,Employed,70249.0,559.0,12412,1.033600510675592,13927,2,1,70249.0,559.0
GELD-10223,18,Employed,25564.0,567.0,3827,0.7535570537190861,3833,0,0,25564.0,567.0
GELD-10224,32,Student,20408.0,574.0,6730,0.7894218998034004,47503,0,0,20408.0,574.0
GELD-10225,51,Employed,43570.0,702.0,11660,0.4114764819360609,10396,1,0,43570.0,702.0
GELD-10226,38,Self-Employed,83272.0,584.0,11985,0.6596907925344573,24933,1,0,83272.0,584.0
GELD-10227,25,Self-Employed,53240.0,655.0,9163,0.4423461340942264,12574,1,0,53240.0,655.0
GELD-10228,29,Unemployed,12000.0,641.0,2767,0.5838220898162108,3446,0,0,12000.0,641.0
GELD-10229,46,Student,14146.0,556.0,4146,0.6880944877004984,44470,0,0,14146.0,556.0
GELD-10230,29,Employed,65142.0,551.0,8762,0.7894245257150654,23241,3,1,65142.0,551.0
GELD-10231,40,Employed,63617.0,610.0,11026,0.8693517837515885,11662,0,0,63617.0,610.0
GELD-10232,38,Employed,56194.0,621.0,11289,0.7663560279255286,4999,0,0,56194.0,621.0
GELD-10233,30,Employed,53260.0,633.0,10283,0.459912452003537,9201,0,0,53260.0,633.0
GELD-10234,63,Employed,119024.0,691.0,21679,0.4678623462415315,30265,0,0,119024.0,691.0
GELD-10235,45,Employed,92310.0,745.0,16657,0.4392654085661684,19260,2,0,92310.0,745.0
GELD-10236,18,Self-Employed,37501.0,516.0,6805,0.8087834873385344,3481,1,0,37501.0,516.0
GELD-10237,40,Employed,56971.0,537.0,8291,0.5829147568280985,12536,0,0,56971.0,537.0
GELD-10238,30,Employed,85239.0,693.0,15772,0.784295624805571,18104,0,0,85239.0,693.0
GELD-10239,48,Employed,68397.0,534.0,11228,0.6967085403293944,9362,0,0,68397.0,534.0
GELD-10240,28,Employed,54819.0,594.0,10069,0.6092516936832446,13871,0,0,54819.0,594.0
GELD-10241,36,Employed,47258.0,764.0,11876,0.527314256263149,9043,0,0,47258.0,764.0
GELD-10242,44,Self-Employed,52239.0,625.0,8959,0.4849817190012619,4832,0,0,52239.0,625.0
GELD-10243,48,Employed,13007.0,536.0,2149,0.6221743792397881,3467,0,0,13007.0,536.0
GELD-10244,23,Self-Employed,29780.0,568.0,5694,0.769601301701792,6447,1,0,29780.0,568.0
GELD-10245,33,Employed,43485.0,597.0,6206,0.7225167419380586,16084,4,1,43485.0,597.0
GELD-10246,32,Self-Employed,110935.0,674.0,19078,0.780173766503736,15846,0,0,110935.0,674.0
GELD-10247,30,Employed,54650.0,640.0,11299,0.4634059767121966,10051,1,0,54650.0,640.0
GELD-10248,59,Employed,31728.0,575.0,4193,1.0030649889251486,9811,0,1,31728.0,575.0
GELD-10249,42,Employed,52973.0,707.0,13406,0.5633969572082395,7415,0,0,52973.0,707.0
GELD-10250,22,Unemployed,12000.0,524.0,4136,0.7422792127310504,3659,1,0,12000.0,524.0
GELD-10251,49,Employed,67039.0,684.0,11500,0.5663688025573428,20656,1,0,67039.0,684.0
GELD-10252,63,Employed,46316.0,616.0,11071,1.0025735380725638,10601,2,1,46316.0,616.0
GELD-10253,50,Student,16673.0,648.0,4949,0.6370976224674418,36409,1,0,16673.0,648.0
GELD-10254,19,Self-Employed,18976.0,542.0,4230,0.874972270133663,2957,2,0,18976.0,542.0
GELD-10255,32,Employed,55011.0,624.0,9738,0.5149099282282065,8323,1,0,55011.0,624.0
GELD-10256,53,Self-Employed,29311.0,569.0,7023,0.6734240011468825,6701,0,0,29311.0,569.0
GELD-10257,29,Employed,74285.0,575.0,13101,0.8953422058029581,4744,1,0,74285.0,575.0
GELD-10258,43,Employed,68424.0,674.0,12174,0.4975050073957851,11055,2,0,68424.0,674.0
GELD-10259,47,Employed,67718.0,623.0,10623,0.8443206091913837,10353,1,1,67718.0,623.0
GELD-10260,26,Unemployed,12000.0,475.0,500,0.9238720870402776,1631,2,0,12000.0,475.0
GELD-10261,37,Unemployed,12000.0,502.0,2117,1.1,2609,5,1,12000.0,502.0
GELD-10262,18,Employed,55759.0,625.0,11472,0.9865734291374524,6253,2,0,55759.0,625.0
GELD-10263,25,Employed,47653.0,561.0,9222,0.8717223260459218,15566,2,0,47653.0,561.0
GELD-10264,34,Employed,57664.0,610.0,10452,0.5375756050186911,16777,1,0,57664.0,610.0
GELD-10265,23,Student,12000.0,539.0,766,0.6799389363469918,30291,2,0,12000.0,539.0
GELD-10266,57,Student,12000.0,494.0,668,0.7774730215054587,41508,3,1,12000.0,494.0
GELD-10267,20,Employed,28307.0,492.0,5830,0.7415196734552288,6210,0,0,28307.0,492.0
GELD-10268,32,Self-Employed,89033.0,661.0,15526,0.8171283973625068,24984,1,1,89033.0,661.0
GELD-10269,39,Self-Employed,48275.0,577.0,8842,0.6112049686038672,9249,3,1,48275.0,577.0
GELD-10270,55,Employed,48719.0,691.0,9132,0.651485816559781,7841,0,0,48719.0,691.0
GELD-10271,20,Employed,22555.0,608.0,5832,0.646171923815511,4777,2,1,22555.0,608.0
GELD-10272,51,Employed,42589.0,662.0,8617,0.6978424255803033,7921,2,0,42589.0,662.0
GELD-10273,38,Employed,61866.0,717.0,14755,0.5362357695409736,8139,0,0,61866.0,717.0
GELD-10274,26,Employed,27618.0,569.0,6545,0.6827455081845468,2151,0,0,27618.0,569.0
